doc_id	genre	source	date	text
1	NEWS	NEWS	2021-01-01	Den nya virusvarianten i Storbritannien har lett till stängda gränser i omvärlden. Larmet om den nya brittiska varianten av coronaviruset har lett till panik och stängda gränser. Men vissa experter varnar för förhastade åtgärder. - Det finns inget som bevisar ökad smittsamhet, säger virologen Tomas Bergström. Premiärminister Boris Johnson har sagt att den nya varianten kan vara 70 procent mer smittsam. Foto: Paul Grover/Shutterstock Många länder har infört inreseförbud mot Storbritannien de senaste veckorna. Foto: Frank Augstein/TT Virologen Tomas Bergström varnar för förhastade slutsatser om den brittiska virusvarianten. Foto: Johan Wingborg / Göteborgs universitet Statsepidemiolog Anders Tegnell säger att det var rätt att stänga gränsen mot Storbritannien. Foto: Henrik Montgomery/TT Efter en mycket dyster höst började det ljusna i Storbritannien i december. Den nationella nedstängningen som införts för att stoppa höstens virusvåg avvecklades efter att smittspridningen minskat. Kort därefter blev landet först i världen med att godkänna vaccinet från Pfizer/Biontech. Medan omvärlden såg på med avundsjuka påbörjade landet den efterlängtade vaccinationen mot covid-19. 
2	NEWS	NEWS	2021-01-01	Några personer syns framför fyrverkeripjäser. Människor betraktar privatfyrverkerier på Senatstorget i Helsingfors vid midnatt. Nyårsfirandet förlöpte relativt lugnt i Finland, enligt rapporterna från polis och räddningsmyndigheter. Många bränder sysselsatte ändå brandkårerna. En brand i Kuopio krävde ett människoliv. Myndigheterna lade på förhand sordin på firandet med coronarestriktioner och från regionerna i Svenskfinland rapporteras tidigt på morgonen inga värre incidenter. Polisen i Helsingfors rapporterar visserligen om ett normalt livligt firande trots coronarestriktionerna. Särskilt mycket uppdrag fick poliserna då barerna stängde. Siluetten av två personer syns framför en rykande fyrverkeripjäs. De offentliga fyrverkerierna var mestadels inhiberade, men många privatpersoner firade med egna fyrverkerier. Bilden är från stadsdelen Drumsö i Helsingfors. Vid Senatstorget i centrala Helsingfors rapporteras om flitigt avfyrande av fyrverkeripjäser, trots att det var förbjudet. Den vanliga, TV-sända nyårsfest på torget, som vanligen samlar tiotusentals människor var inhiberad och ersatt med en festsändning på TV. Polisen i Sydvästra Finland fick rapporter om många ungdomsgäng som höll större fester än vad coronarekommendationerna stipulerar. Polisen uppger att man i de fallen främst kontrollerade ungdomarnas ålder och skick. En död i brand i Kuopio I Kuopio inträffade en brand i ett tvåvåningshus på 150 kvadratmeter. Två personer var i huset då det började brinna. Den ena lyckades rädda sig via en balkong, men den andra personen omkom i branden. Eftersläckningen bedöms fortgå under morgonen. Räddningspersonalen vet inte hur branden fick sin början och polisen börjar undersöka saken på morgonen. Också i Lahtis brann ett större egnahemshus. I Lappland rapporteras om bränder i egnahemshus i Kemijärvi och Muonio. 
3	NEWS	NEWS	2021-01-01	Under nyårsnatten bröt polisen upp en svartklubb där man uppskattar att runt 250 personer hade samlats i en industrifastighet i Kortedala. Bland gästerna fanns både vad som beskrivs som vanlig allmänhet, men också ett stort antal gängkriminella. - När vi gick in tog någon tag en mikrofon och uppmanade gästerna att stanna kvar och inte lämna på vår anmodan, säger insatsledaren Fredrik Terje. 
4	NEWS	NEWS	2021-01-02	Mohammad Adil är från Pakistan och har arbetat i över 30 år som läkare i Storbritannien. Han stängdes av från sitt arbete efter att ha kritiserat de coronarelaterade åtgärderna som han menar skördar fler liv än pandemin i sig. Nu reser han runt Europa och anordnar demonstrationer mot nedstängningarna. Videon är på engelska med svensk textning. Mohammad Adil är ordförande för World Doctors Alliance. Enligt beskrivningen på organisationens hemsida samlar man läkare, sjuksköterskor och annan hälsovårdspersonal med syfte att "få stopp på alla nedstängningar och andra skadliga åtgärder" för att i stället återgå till en sjukvård som är bra för människor hälsa och välbefinnande. I denna intervju med Nya Tider berättar Adil hur han under våren 2020 uppmärksammade en rad märkliga åtgärder i vården som enligt honom gjorde mer skada än nytta. Bland annat ställdes alla planerade operationer och undersökningar in, vilket gjort att miljoner människor med cancer inte fått den behandling de behöver och har rätt till. Fler människor i Storbritannien dör idag av olika typer av cancer än av Covid-19. Adils överordnade gillade dock inte det han sade, och när han gick ut med kritiken offentligt stängdes han av från sitt arbete under tolv månader i väntan på en utredning. Själv är han mycket kritisk till att han drabbats av dessa sanktioner, trots att han uttryckt sin kritik på fritiden och i egenskap av privatperson. Avstängningen har dock gett honom möjlighet att i stället arbeta med World Doctors Alliance och att anordna demonstrationer mot nedstängningar. 
5	NEWS	NEWS	2021-01-03	Region Stockholm har identifierat fyra fall av muterat covid-19-virus, uppger regionen i ett pressmeddelande. Enligt regionens smittskyddsläkare var detta inte oväntat. Det handlar om tre fall av den virusvariant som upptäckts i Storbritannien och ett fall av den variant, som kallas 501.V2, som identifierats i Sydafrika. Samtliga rör personer som vistats i dessa länder, uppger regionen. Regionens smittskyddsläkare Maria Rotzén Östlund säger i pressmeddelandet att det inte var oväntat att dessa nya mutationer skulle påvisas även i Stockholm. - Smittspårning genomfördes enligt våra rutiner så snart personerna fick positivt resultat för covid-19 och de har fått uppmaningen att följa de rekommendationer som gäller och isolera sig. Ett antal fall av virusvarianten från Storbritannien har redan tidigare konstaterats i flera regioner i Sverige, bland annat i Sörmland. Den nya varianten har tidigare uppgetts ha en högre smittsamhet, men det är ännu inte klarlagt huruvida det stämmer. Ingenting tyder på att den skulle ge ett allvarligare sjukdomsförlopp. Regionernas kliniska mikrobiologiska laboratorier har, med anledning av rapporter om mutationer, utökat sina analyser i samarbete med Folkhälsomyndigheten. Dessa har särskilt riktats mot prover från personer som testats positivt efter vistelse i Storbritannien, både nyligen och bakåt i tiden. Även resenärer från Sydafrika inkluderas sedan en tid tillbaka. Folkhälsomyndigheten uppmanar alla inresande som har vistats i Storbritannien eller Sydafrika att stanna hemma i minst sju dagar, undvika kontakt med andra så långt det går och att testa sig snarast efter ankomst med uppföljande test fem dagar efter ankomst. 
6	NEWS	NEWS	2021-01-04	47 procent av läkarna som är medlemmar i Sveriges läkarförbund känner mer stress kopplat till jobbet sedan pandemin bröt ut, enligt en undersökning från förbundet. Arkivbild. Hälften av läkarna har inte fått tillräckligt med vila sedan pandemin bröt ut - vilket påverkar både arbetet och privatlivet, enligt en ny undersökning. Samtidigt är många oroade över den stora vårdskulden fjolåret lämnat efter sig. Extra långa arbetsveckor. Aktiverat krislägesavtal. Inställda semestrar. En växande vårdskuld. Krislägesavtal som aktiverats på nytt. Det gångna året har varit extra påfrestande på hälso- och sjukvården på flera fronter. Och enligt en undersökning från fackförbundet Sveriges läkarförbund uppger drygt hälften av deras medlemmar att de inte har fått tillräckligt med återhämtning under pandemin. 
7	NEWS	NEWS	2021-01-04	Det är nu 30 procent fler patienter på brittiska sjukhus än vad det var för en vecka sedan, säger Storbritanniens premiärminister Boris Johnson under ett tv-sänt tal där han tillkännager en nationell nedstängning av England. Dödstalen i landet är upp med 20 procent den senaste veckan. Foto: Stefan Rousseau/AP/TT Från och med midnatt kommer det engelska samhället att stängas ned med lika omfattande åtgärder som man hade i mars förra året. Nya nedstängningar väntar för England, meddelar premiärminister Boris Johnson i ett tv-sänt tal på måndagskvällen. Det är samma besked som Skottland gav tidigare under dagen. De ny reglerna börjar gälla omedelbart, och blir lag under natten till tisdag. Den gäller fram till mitten av februari. 
8	NEWS	NEWS	2021-01-04	I Grand County i Colorado registrerades fem döda i Covid-19, men av dessa visade sig två ha dött i en skottlossning, där den ene sköt den andra och sedan sig själv. Rättsläkare Brenda Bock berättade för nyhetsbolaget CBS: - Dessa två personer hade testat positivt för Covid, men det är inte vad som dödade dem. Skottskadorna dödade dem och det är väldigt vilseledande att uppge att dessa personer dog av Covid när det inte är vad de dog av. Bock höll fortfarande på med den rättsmedicinska undersökningen när delstaten räknade dem som coronadödsfall: - Jag förstår att man försöker hålla räkningen, men man måste göra det på rätt sätt. 
9	NEWS	NEWS	2021-01-04	Nästan alla regioner i landet är drabbade. Arkivbild. Nästan alla svenska regioner, 19 av 21, har brist på biomedicinska analytiker, som analyserar covid-19-tester. - Det har påverkat testkapaciteten negativt. Det är en av flera orsaker till att vi har haft svårt att komma upp i de önskade nivåerna vid olika tillfällen, säger Claes Ruth, som är testsamordnare och funktionschef vid Karolinska universitetslaboratoriet i Solna, till Sveriges Radio Ekot. 
10	NEWS	NEWS	2021-01-04	Vaccinsamordnare Richard Bergström. Arkivbild. Modernas vaccin mot covid-19 väntades godkännas i EU under måndagskvällen, men Europeiska läkemedelsmyndigheten (EMA) meddelar att den kommer inte att fatta ett beslut under kvällen, skriver EMA på Twitter. "EMA:s kommitté för mediciner för människors (CHMP) diskussion om Modernas covid-19-vaccin har inte avslutats i dag. De ska fortsätta på onsdag den 6 januari 2021. Inga ytterligare kommentarer kommer att ges i dag", skriver EMA. 
